Evaluation,Cannon Fodder,3.83,3,4,4,4,4,4
Evaluation,Dr. Math,2.50,1,2,2,3,3,4
Evaluation,Math Hunt,3.17,3,2,4,3,4,3
Evaluation,Chester Pets,4.17,4,3,5,5,4,4
Evaluation,Math Adder,4.17,4,4,4,5,4,4
Evaluation,Space Recycler,3.83,3,3,4,4,5,4
Fun,Cannon Fodder,3.33,3,3,3,4,4,3
Fun,Dr. Math,2.83,1,3,2,4,4,3
Fun,Math Hunt,3.67,4,4,3,4,4,3
Fun,Chester Pets,4.00,4,3,4,5,4,4
Fun,Math Adder,4.17,4,4,4,5,4,4
Fun,Space Recycler,4.00,4,4,4,5,4,3
Teaching,Cannon Fodder,4.00,4,4,4,4,4,4
Teaching,Dr. Math,2.67,2,2,3,4,2,3
Teaching,Math Hunt,3.50,4,2,4,4,4,3
Teaching,Chester Pets,3.67,4,1,4,5,4,4
Teaching,Math Adder,4.17,4,4,4,5,4,4
Teaching,Space Recycler,4.33,4,4,4,5,5,4
Usefulness,Cannon Fodder,3.67,3,4,3,4,4,4
Usefulness,Dr. Math,2.67,2,1,2,4,4,3
Usefulness,Math Hunt,2.67,4,1,1,3,4,3
Usefulness,Chester Pets,3.67,5,1,4,5,3,4
Usefulness,Math Adder,4.33,5,4,4,5,4,4
Usefulness,Space Recycler,4.17,3,4,4,5,5,4
Average Reaction,Cannon Fodder,3.71,,,,,,
Average Reaction,Dr. Math,2.67,,,,,,
Average Reaction,Math Hunt,3.25,,,,,,
Average Reaction,Chester Pets,3.88,,,,,,
Average Reaction,Space Recycler,4.08,,,,,,
Average Reaction,Math Adder,4.21,,,,,,